product_id,product_name,category,price
500,Dream,Clothing,479.56
501,Wall,Clothing,296.92
502,Service,Home,803.57
503,All,Clothing,968.25
504,Executive,Books,977.36
505,Just,Home,1902.78
506,Design,Sports,8.9
507,Yet,Books,1228.05
508,Look,Electronics,1509.44
509,Culture,Home,977.62
510,Record,Clothing,316.97
511,Year,Clothing,1745.63
512,Particularly,Sports,1530.07
513,Carry,Clothing,1411.5
514,Need,Clothing,848.22
515,Value,Sports,1834.74
516,Spring,Books,282.68
517,Else,Sports,1989.25
518,Success,Home,536.38
519,Born,Sports,663.69
520,Strong,Books,1684.91
521,Near,Sports,810.45
522,Enter,Clothing,846.96
523,She,Home,249.91
524,Fine,Home,692.56
525,Military,Sports,380.63
526,Mind,Home,884.41
527,Fund,Sports,934.03
528,Message,Clothing,1164.36
529,How,Clothing,1023.83
530,Woman,Electronics,21.34
531,Partner,Electronics,837.01
532,Question,Sports,1529.48
533,Address,Sports,1715.15
534,Though,Home,934.01
535,Grow,Sports,410.24
536,At,Clothing,1422.88
537,Policy,Books,1400.51
538,Project,Sports,380.73
539,Can,Home,1427.26
540,Action,Sports,1611.42
541,Research,Sports,554.88
542,Three,Sports,171.39
543,Method,Electronics,1276.2
544,Fund,Books,806.06
545,Detail,Books,1312.74
546,Teacher,Clothing,115.38
547,Less,Electronics,1900.83
548,Player,Books,64.24
549,Mean,Home,309.11
550,Poor,Electronics,1142.69
551,Republican,Clothing,1041.09
552,Play,Electronics,836.82
553,Do,Clothing,238.56
554,Inside,Clothing,670.37
555,Heavy,Sports,1214.25
556,Position,Books,966.88
557,Student,Books,33.63
558,Herself,Home,1945.1
559,Project,Books,753.55
560,Church,Clothing,418.82
561,Several,Home,142.84
562,Close,Clothing,1149.44
563,Car,Home,71.43
564,From,Clothing,1858.94
565,Authority,Sports,227.94
566,Leave,Sports,1102.65
567,Despite,Clothing,1810.47
568,Run,Home,1296.56
569,Half,Home,1133.73
570,Here,Books,1023.14
571,Leader,Sports,761.5
572,Do,Books,1483.5
573,Throw,Books,1553.17
574,Kind,Clothing,260.73
575,Concern,Electronics,1418.35
576,Statement,Sports,1123.31
577,Word,Electronics,1584.61
578,Positive,Electronics,303.24
579,Better,Books,1840.61
580,Finally,Electronics,1121.12
581,Commercial,Books,482.36
582,Door,Electronics,469.63
583,Manager,Books,1144.21
584,Consumer,Sports,1232.55
585,Check,Clothing,77.29
586,Believe,Home,1688.82
587,Care,Home,1023.55
588,Officer,Home,1026.66
589,Past,Clothing,1762.5
590,Amount,Clothing,1353.13
591,Million,Clothing,1201.78
592,Condition,Books,1442.6
593,Authority,Electronics,8.39
594,Seven,Sports,409.34
595,Charge,Electronics,898.0
596,Forward,Clothing,1998.19
597,Of,Sports,1762.92
598,In,Clothing,257.2
599,Tax,Home,303.54
600,Finally,Electronics,1486.48
601,Traditional,Electronics,1458.75
602,Arm,Home,1106.23
603,Town,Electronics,1677.61
604,Way,Sports,1992.48
605,Simple,Books,219.92
606,Citizen,Electronics,188.11
607,Argue,Clothing,44.32
608,Understand,Clothing,1023.91
609,Note,Sports,326.95
610,Believe,Clothing,563.08
611,Job,Electronics,628.24
612,Building,Sports,436.17
613,Green,Clothing,1651.05
614,Audience,Books,1508.63
615,Voice,Clothing,738.76
616,Program,Books,326.61
617,Six,Sports,708.72
618,Stock,Books,1892.0
619,Here,Clothing,608.16
620,Social,Sports,1341.28
621,Staff,Home,989.78
622,Trial,Clothing,363.22
623,Consumer,Electronics,1393.41
624,Serious,Home,1330.85
625,Ask,Books,1718.59
626,Wind,Clothing,875.36
627,Mr,Sports,462.34
628,Sing,Sports,1890.3
629,According,Clothing,767.32
630,Election,Electronics,1592.58
631,Card,Sports,357.63
632,Room,Books,1968.06
633,Staff,Sports,243.25
634,Claim,Books,730.38
635,Information,Sports,1216.63
636,Ability,Electronics,1130.71
637,Company,Clothing,1585.62
638,Carry,Books,862.09
639,Mission,Sports,835.11
640,Reality,Electronics,615.23
641,Similar,Books,1320.79
642,Position,Books,1352.71
643,Cover,Electronics,735.44
644,Natural,Clothing,1518.54
645,Particularly,Electronics,1167.15
646,Improve,Books,1516.61
647,Travel,Home,1616.8
648,Network,Clothing,748.06
649,Break,Home,269.57
650,Responsibility,Home,1591.07
651,Fund,Sports,1730.13
652,History,Clothing,8.77
653,Project,Home,610.69
654,Certainly,Clothing,306.9
655,Indeed,Home,1997.16
656,Type,Books,1710.99
657,Realize,Clothing,1470.6
658,Where,Sports,1155.61
659,Major,Books,405.22
660,Keep,Clothing,1924.5
661,Key,Sports,1192.38
662,Ever,Clothing,1501.57
663,Fire,Sports,1235.48
664,North,Electronics,1399.75
665,Industry,Clothing,30.38
666,Threat,Books,756.66
667,Who,Sports,271.12
668,Newspaper,Clothing,723.59
669,Purpose,Sports,1553.22
670,Power,Sports,1321.79
671,National,Books,1752.77
672,Billion,Clothing,277.4
673,Ability,Home,1379.04
674,Discuss,Home,1285.77
675,Hour,Sports,1501.89
676,Sit,Electronics,548.78
677,Recognize,Books,989.06
678,Decision,Sports,1688.52
679,Deep,Home,668.33
680,Bill,Electronics,1110.32
681,Gas,Home,1791.78
682,Away,Sports,1025.58
683,Office,Sports,1509.86
684,Every,Electronics,268.19
685,Successful,Electronics,1793.58
686,Group,Home,964.37
687,No,Clothing,858.95
688,After,Clothing,843.39
689,Work,Electronics,1069.71
690,Feeling,Home,262.37
691,Sell,Electronics,436.55
692,Involve,Clothing,30.27
693,Area,Home,1582.59
694,Billion,Clothing,1210.72
695,Particularly,Electronics,1023.83
696,Draw,Electronics,1543.04
697,Source,Electronics,898.29
698,Citizen,Clothing,1367.07
699,School,Electronics,152.09
