transaction_id,customer_id,product_id,amount,payment_type,transaction_time,status
cf38974e-3bf8-474d-9513-2d58c7e6a199,1272,545,119.67,CC,2025-02-13T07:50:23,SUCCESS
8e5c41e5-0d65-4387-86b9-235d46b64b2f,1055,608,672.2,wallet,2025-06-16T01:13:46,SUCCESS
84198714-05c0-43e7-b919-95d8bda5794d,1164,697,536.45,NetBanking,2025-08-07T18:37:12,FAILED
db41697f-a3fa-4461-9a01-f39ad651db9a,1457,655,568.77,DEBIT_CARD,2025-06-29T07:29:32,SUCCESS
5e9c3e4a-b2ce-4581-bea8-0d522141b619,1081,616,665.65,CreditCard,2025-08-14T02:44:39,SUCCESS
8b0f42ed-b054-4433-9c12-41bf78df0841,1005,668,950.16,wallet,2025-06-05T01:57:29,SUCCESS
2f139c9a-8aeb-41fe-92b9-3e84fe9c00b4,1231,505,278.77,wallet,2025-08-14T12:30:47,FAILED
b95fff74-e6c4-4350-9207-90746b821b79,1292,675,477.67,DebitCard,2025-01-31T09:46:28,SUCCESS
e1f97a3b-90ec-4d38-8efd-ab8d873bf8a9,1038,547,375.2,DC,2025-03-03T18:15:17,SUCCESS
a85fa63f-b5f9-4e58-a7a9-a2f1ce4a52c3,1083,684,281.66,NET_BANKING,2025-07-08T15:58:59,SUCCESS
df28101a-a137-4935-aeb6-bbed086ada41,1479,617,541.31,CREDIT_CARD,2025-07-20T08:02:11,SUCCESS
12fa8118-4156-402d-9b35-bd4ac17b4002,1153,628,942.84,netbanking,2025-07-17T02:03:38,SUCCESS
478fafe9-6960-458f-a7fd-e0d006a72203,1368,697,532.52,WALLET,2025-07-08T22:36:55,SUCCESS
effdd766-8a77-43ad-9ad0-6560d267caf2,1355,664,178.26,debit,2025-02-02T11:29:18,SUCCESS
3e1eb359-ff5d-4207-8704-9e2186d473e1,1272,625,493.88,wallet,2025-02-09T16:46:31,SUCCESS
deb60ef6-3ebb-4d3c-ac1b-09eb1470bb4e,1056,650,254.85,debit,2025-01-12T12:53:22,SUCCESS
27dbc1d6-72f1-4743-8b50-9f824cb2bfed,1472,500,809.7,Upi,2025-06-19T15:36:07,SUCCESS
382009b5-c94b-4757-896c-9765a7558788,1342,605,680.91,Wallet,2025-09-08T16:54:55,SUCCESS
d34a182b-3ee8-4c1c-80f0-6bf105eb5db9,1084,612,716.76,Wallet,2025-08-25T23:28:13,SUCCESS
00b538c9-4d57-4c7c-b87a-197bf8fdc1ea,1250,614,689.91,upi,2025-06-21T14:32:10,SUCCESS
b72b5b01-efbd-4bed-acf4-8591f0091062,1180,624,920.19,CC,2025-07-10T07:41:39,SUCCESS
6ea195fa-d358-47cd-abdd-314e91b9f7ca,1403,579,911.46,CreditCard,2025-01-27T15:48:54,SUCCESS
dda07678-44c3-437e-9a0b-3a6ddc786337,1107,605,553.34,CC,2025-07-11T20:24:37,SUCCESS
6d252873-244f-4d32-8644-a06c3520ed26,1478,504,178.49,WALLET,2025-07-26T15:04:19,SUCCESS
901a560a-3b73-4619-b319-f5cc75bad947,1055,662,119.67,netbanking,2025-03-31T07:40:04,FAILED
857e7b67-d57f-4943-b0d3-a0a536e79d44,1322,663,146.07,wallet,2025-07-22T09:44:40,SUCCESS
e8764b64-edd8-436d-9af7-495188e0507b,1298,617,403.32,NET_BANKING,2025-07-31T15:52:49,SUCCESS
dc0d3913-9491-4dd5-bdd8-d2a076986f0d,1032,571,152.99,WALLET,2025-01-28T18:48:38,SUCCESS
d77457df-94ce-4c70-a9a5-c35af17bd256,1312,519,200.74,UPI,2025-01-09T02:25:27,SUCCESS
382cc33c-8261-4897-8f1e-13da14988831,1410,581,520.22,DebitCard,2025-09-02T02:33:11,FAILED
9e9860a6-5110-45f0-ae1e-8a90ff56f149,1494,608,337.95,DEBIT_CARD,2025-03-31T20:08:31,SUCCESS
23c38878-ce0d-4cdd-96f4-6f30052abe58,1367,583,974.37,CreditCard,2025-03-27T01:31:02,SUCCESS
015e2dff-70fa-474c-9d81-6f657e45f4ee,1397,650,675.52,Upi,2025-02-28T15:45:03,SUCCESS
c06e207b-6f2e-4252-ae5d-fe84fcdb4d9c,1472,667,261.91,UPI,2025-04-26T08:04:01,SUCCESS
a232ebeb-d48e-469c-ba63-159179a80f64,1395,646,552.13,credit,2025-01-06T20:46:55,FAILED
65b379ed-779f-49cb-b420-e7c09d4e674f,1147,597,182.2,NetBanking,2025-05-16T16:46:52,SUCCESS
d96577bb-26c5-4eb9-96dd-4725952dd5cf,1192,564,689.75,UPI,2025-01-09T10:18:07,SUCCESS
fcd0e06d-7781-483e-8541-f699b3345bdb,1318,662,708.07,upi,2025-06-14T21:22:50,SUCCESS
2265a025-3dd3-4201-88bb-14d210f2f0de,1475,582,409.22,DC,2025-05-27T01:14:24,SUCCESS
2a6a7304-24ab-4860-abf6-27b978d8d0e1,1292,514,608.95,NET_BANKING,2025-08-30T23:07:22,SUCCESS
438f9c1d-c94b-48ee-94ca-5756f6f90865,1453,604,130.3,NET_BANKING,2025-03-30T20:12:40,SUCCESS
8996e6f7-fe4d-4a2e-97d9-1b9346e58925,1315,667,213.95,upi,2025-08-05T10:02:57,FAILED
cd8c01d8-0cdb-4ab5-b668-a54df73e15e0,1302,581,580.12,CREDIT_CARD,2025-03-08T14:37:51,SUCCESS
4a9996c4-a49f-4d6d-a29e-a752e3fc15ba,1422,615,89.81,CreditCard,2025-04-30T11:06:04,SUCCESS
4e3182bf-6e57-47e5-be9e-f5a17d005077,1159,570,898.04,upi,2025-05-16T06:27:42,SUCCESS
